Work_Order_ID,Job_Number,Train_ID,Work_Type,Description,Priority,Status,Created_Date,Due_Date,Estimated_Hours,Actual_Hours,Assigned_Technician,Department,Cost_Estimate,Parts_Cost,Urgency_Score,Completion_Rate,Notes
WO-C7B8D0E3,JOB-20240323-3792,CR124,PM-HVAC,PM HVAC for CR124,Low,Cancelled,2024-03-23,2024-04-30,5,,Tech_17,Electrical,525,554,50,0.0,Generated on 2024-03-23 - PM-HVAC maintenance
WO-DB45CFD3,JOB-20240323-9821,CR101,Seasonal-Maintenance,Seasonal Maintenance for CR101,Low,Cancelled,2024-03-23,2024-04-10,15,,Tech_16,Maintenance,2400,591,50,0.0,Generated on 2024-03-23 - Seasonal-Maintenance maintenance
WO-0B1F3E16,JOB-20240324-6611,CR123,PM-Bogie,Scheduled bogie maintenance for CR123,Medium,On_Hold,2024-03-24,2024-04-05,10,,Tech_18,Mechanical,1580,690,70,13.87725824116449,Generated on 2024-03-24 - PM-Bogie maintenance
WO-DB6ABDE5,JOB-20240324-9100,CR115,CM-Mechanical,CM Mechanical for CR115,Low,Cancelled,2024-03-24,2024-05-03,4,,Tech_25,Mechanical,464,1239,50,0.0,Generated on 2024-03-24 - CM-Mechanical maintenance
WO-A53ECF50,JOB-20240325-9316,CR109,CM-Electrical,Electrical system corrective maintenance - CR109,Low,Closed,2024-03-25,2024-04-29,12,9.9,Tech_8,Electrical,2364,2638,50,100.0,Generated on 2024-03-25 - CM-Electrical maintenance
WO-6FB70388,JOB-20240325-2628,CR103,Inspection-C,Inspection C for CR103,Medium,On_Hold,2024-03-25,2024-04-04,23,,Tech_13,Maintenance,2599,594,70,17.30426922687272,Generated on 2024-03-25 - Inspection-C maintenance
WO-8AFD73C5,JOB-20240325-4707,CR102,PM-Bogie,Scheduled bogie maintenance for CR102,Low,On_Hold,2024-03-25,2024-04-29,10,,Tech_9,Mechanical,750,951,50,12.214862000894689,Generated on 2024-03-25 - PM-Bogie maintenance
WO-2E027E74,JOB-20240325-6014,CR102,PM-Traction,PM Traction for CR102,Medium,On_Hold,2024-03-25,2024-04-03,14,,Tech_29,Electrical,1106,584,70,13.716918226856418,Generated on 2024-03-25 - PM-Traction maintenance
WO-575D740C,JOB-20240325-6374,CR110,PM-Brake,Brake pad inspection and replacement - CR110,Low,Cancelled,2024-03-25,2024-04-26,4,,Tech_24,Mechanical,344,707,50,0.0,Generated on 2024-03-25 - PM-Brake maintenance
WO-1FAAD7CD,JOB-20240326-7108,CR101,CM-Electronics,CM Electronics for CR101,Low,On_Hold,2024-03-26,2024-04-26,5,,Tech_22,Electronics,570,1038,50,11.940636043033948,Generated on 2024-03-26 - CM-Electronics maintenance
WO-B6F9F87D,JOB-20240326-2316,CR120,Emergency-Repair,Urgent maintenance intervention - CR120,Low,Cancelled,2024-03-26,2024-04-24,7,,Tech_2,Emergency_Response,819,854,50,0.0,Generated on 2024-03-26 - Emergency-Repair maintenance
WO-83B2304F,JOB-20240326-6341,CR108,CM-Electronics,CM Electronics for CR108,Medium,Closed,2024-03-26,2024-04-10,6,7.7,Tech_16,Electronics,798,4451,70,100.0,Generated on 2024-03-26 - CM-Electronics maintenance
WO-47EEDE26,JOB-20240326-1587,CR124,CM-Electrical,Electrical system corrective maintenance - CR124,Medium,Closed,2024-03-26,2024-04-14,4,3.7,Tech_3,Electrical,328,1042,70,100.0,Generated on 2024-03-26 - CM-Electrical maintenance
WO-A03F6DE3,JOB-20240327-1733,CR108,CM-Software,CM Software for CR108,Low,Closed,2024-03-27,2024-04-27,5,5.6,Tech_21,IT,630,2525,50,100.0,Generated on 2024-03-27 - CM-Software maintenance
WO-F90D98AE,JOB-20240327-2466,CR108,CM-Electrical,Power supply issue resolution - CR108,High,Closed,2024-03-27,2024-04-02,3,2.8,Tech_23,Electrical,324,1278,90,100.0,Generated on 2024-03-27 - CM-Electrical maintenance
WO-A9E9B818,JOB-20240327-4950,CR115,CM-Software,CM Software for CR115,Critical,Closed,2024-03-27,2024-03-29,8,7.2,Tech_8,IT,1416,1961,100,100.0,Generated on 2024-03-27 - CM-Software maintenance
WO-3ADC2C0C,JOB-20240328-3789,CR118,CM-Electronics,CM Electronics for CR118,High,Closed,2024-03-28,2024-04-01,7,6.2,Tech_27,Electronics,882,1612,90,100.0,Generated on 2024-03-28 - CM-Electronics maintenance
WO-2782C02B,JOB-20240329-5732,CR120,CM-Software,CM Software for CR120,High,Closed,2024-03-29,2024-04-03,9,8.7,Tech_26,IT,1629,3957,90,100.0,Generated on 2024-03-29 - CM-Software maintenance
WO-B3DFFC78,JOB-20240329-8193,CR112,Inspection-A,Inspection A for CR112,High,Closed,2024-03-29,2024-04-03,8,7.1,Tech_4,Maintenance,1288,694,90,100.0,Generated on 2024-03-29 - Inspection-A maintenance
WO-814BBBFA,JOB-20240329-7061,CR124,PM-HVAC,PM HVAC for CR124,Low,On_Hold,2024-03-29,2024-04-23,6,,Tech_9,Electrical,648,475,50,14.991678692547117,Generated on 2024-03-29 - PM-HVAC maintenance
WO-5467E36D,JOB-20240329-6380,CR124,CM-Software,CM Software for CR124,High,Closed,2024-03-29,2024-04-05,5,5.7,Tech_4,IT,780,2811,90,100.0,Generated on 2024-03-29 - CM-Software maintenance
WO-D82A861D,JOB-20240330-4224,CR124,PM-Doors,PM Doors for CR124,Medium,On_Hold,2024-03-30,2024-04-11,3,,Tech_9,Mechanical,393,546,70,16.373431549095613,Generated on 2024-03-30 - PM-Doors maintenance
WO-062F7790,JOB-20240331-2994,CR102,Inspection-C,Inspection C for CR102,Medium,On_Hold,2024-03-31,2024-04-13,23,,Tech_20,Maintenance,4140,591,70,10.159667011085542,Generated on 2024-03-31 - Inspection-C maintenance
WO-619A3808,JOB-20240401-9452,CR120,PM-HVAC,PM HVAC for CR120,Medium,Closed,2024-04-01,2024-04-21,10,8.1,Tech_2,Electrical,1650,962,70,100.0,Generated on 2024-04-01 - PM-HVAC maintenance
WO-D89EB5ED,JOB-20240401-8046,CR106,CM-Software,CM Software for CR106,Critical,Closed,2024-04-01,2024-04-03,7,5.9,Tech_16,IT,616,1191,100,100.0,Generated on 2024-04-01 - CM-Software maintenance
WO-B5ED5676,JOB-20240401-5610,CR122,PM-Brake,Brake pad inspection and replacement - CR122,High,Closed,2024-04-01,2024-04-04,8,8.4,Tech_1,Mechanical,1512,897,90,100.0,Generated on 2024-04-01 - PM-Brake maintenance
WO-7E464B73,JOB-20240402-8153,CR117,PM-Brake,Brake system preventive maintenance - CR117,High,Closed,2024-04-02,2024-04-05,8,8.8,Tech_5,Mechanical,1448,769,90,100.0,Generated on 2024-04-02 - PM-Brake maintenance
WO-3A7206C7,JOB-20240402-4940,CR119,PM-Bogie,Bogie bearing inspection and lubrication - CR119,Critical,Closed,2024-04-02,2024-04-03,22,19.9,Tech_20,Mechanical,3432,146,100,100.0,Generated on 2024-04-02 - PM-Bogie maintenance
WO-8964295D,JOB-20240403-7016,CR115,Inspection-B,Inspection B for CR115,Critical,Closed,2024-04-03,2024-04-05,21,24.4,Tech_8,Maintenance,2709,917,100,100.0,Generated on 2024-04-03 - Inspection-B maintenance
WO-0541DD8B,JOB-20240403-1606,CR116,PM-Brake,Brake pad inspection and replacement - CR116,Low,Cancelled,2024-04-03,2024-04-28,4,,Tech_25,Mechanical,728,336,50,0.0,Generated on 2024-04-03 - PM-Brake maintenance
WO-909E6800,JOB-20240404-6103,CR122,CM-Electronics,CM Electronics for CR122,Low,Cancelled,2024-04-04,2024-05-01,8,,Tech_5,Electronics,1320,2783,50,0.0,Generated on 2024-04-04 - CM-Electronics maintenance
WO-2196C4B3,JOB-20240404-9537,CR121,Emergency-Repair,Urgent maintenance intervention - CR121,Low,Cancelled,2024-04-04,2024-05-17,35,,Tech_18,Emergency_Response,3850,381,50,0.0,Generated on 2024-04-04 - Emergency-Repair maintenance
WO-C118A48E,JOB-20240404-8702,CR111,CM-Electrical,Power supply issue resolution - CR111,Medium,On_Hold,2024-04-04,2024-04-19,17,,Tech_18,Electrical,2227,4166,70,17.146958410430052,Generated on 2024-04-04 - CM-Electrical maintenance
WO-74B2D68A,JOB-20240404-3360,CR118,PM-Doors,PM Doors for CR118,Low,Cancelled,2024-04-04,2024-04-25,4,,Tech_19,Mechanical,784,696,50,0.0,Generated on 2024-04-04 - PM-Doors maintenance
WO-2B47C8AD,JOB-20240405-1504,CR102,PM-Bogie,Bogie bearing inspection and lubrication - CR102,High,Closed,2024-04-05,2024-04-08,17,15.1,Tech_6,Mechanical,1683,357,90,100.0,Generated on 2024-04-05 - PM-Bogie maintenance
WO-9FF8BF7C,JOB-20240405-2101,CR124,Inspection-B,Inspection B for CR124,Medium,Closed,2024-04-05,2024-04-13,17,20.1,Tech_7,Maintenance,2074,730,70,100.0,Generated on 2024-04-05 - Inspection-B maintenance
WO-37AB1607,JOB-20240405-8924,CR102,PM-Brake,Brake system preventive maintenance - CR102,Low,On_Hold,2024-04-05,2024-05-14,4,,Tech_1,Mechanical,464,337,50,26.720128459251924,Generated on 2024-04-05 - PM-Brake maintenance
WO-B489BF55,JOB-20240405-3598,CR119,Inspection-B,Inspection B for CR119,Low,Closed,2024-04-05,2024-05-15,14,13.5,Tech_10,Maintenance,1400,388,50,100.0,Generated on 2024-04-05 - Inspection-B maintenance
WO-386A34FD,JOB-20240406-6545,CR119,CM-Software,CM Software for CR119,Low,Cancelled,2024-04-06,2024-04-30,6,,Tech_3,IT,792,1448,50,0.0,Generated on 2024-04-06 - CM-Software maintenance
WO-2E345846,JOB-20240407-8050,CR120,Emergency-Repair,Urgent maintenance intervention - CR120,Medium,On_Hold,2024-04-07,2024-04-14,13,,Tech_20,Emergency_Response,1066,493,70,29.059801028883204,Generated on 2024-04-07 - Emergency-Repair maintenance
WO-05876783,JOB-20240408-4705,CR120,PM-Traction,PM Traction for CR120,Medium,On_Hold,2024-04-08,2024-04-24,19,,Tech_13,Electrical,2907,885,70,25.987957832742204,Generated on 2024-04-08 - PM-Traction maintenance
WO-D4DD159E,JOB-20240408-7524,CR103,Compliance-Check,Compliance Check for CR103,High,Closed,2024-04-08,2024-04-14,2,2.0,Tech_1,Quality_Assurance,328,551,90,100.0,Generated on 2024-04-08 - Compliance-Check maintenance
WO-87EC0086,JOB-20240409-1773,CR109,PM-HVAC,PM HVAC for CR109,Low,Cancelled,2024-04-09,2024-05-06,6,,Tech_13,Electrical,534,952,50,0.0,Generated on 2024-04-09 - PM-HVAC maintenance
WO-EC4C1060,JOB-20240409-8621,CR109,Inspection-B,Inspection B for CR109,Medium,Closed,2024-04-09,2024-04-18,13,15.7,Tech_14,Maintenance,1287,190,70,100.0,Generated on 2024-04-09 - Inspection-B maintenance
WO-CDAEF99A,JOB-20240410-7611,CR124,PM-Traction,PM Traction for CR124,Low,Closed,2024-04-10,2024-05-16,10,11.1,Tech_29,Electrical,1090,258,50,100.0,Generated on 2024-04-10 - PM-Traction maintenance
WO-BB181C10,JOB-20240410-4300,CR117,CM-Electrical,Power supply issue resolution - CR117,Medium,On_Hold,2024-04-10,2024-04-22,19,,Tech_1,Electrical,3686,1656,70,20.539530920787424,Generated on 2024-04-10 - CM-Electrical maintenance
WO-1B231BC8,JOB-20240410-2793,CR117,PM-Brake,Brake pad inspection and replacement - CR117,Low,Closed,2024-04-10,2024-04-28,6,5.7,Tech_20,Mechanical,714,819,50,100.0,Generated on 2024-04-10 - PM-Brake maintenance
WO-4E65F821,JOB-20240410-8386,CR121,CM-Mechanical,CM Mechanical for CR121,High,Closed,2024-04-10,2024-04-15,13,11.9,Tech_15,Mechanical,1690,1142,90,100.0,Generated on 2024-04-10 - CM-Mechanical maintenance
WO-35847C12,JOB-20240410-3207,CR115,PM-Doors,PM Doors for CR115,Critical,Closed,2024-04-10,2024-04-12,6,6.0,Tech_14,Mechanical,978,332,100,100.0,Generated on 2024-04-10 - PM-Doors maintenance
WO-86BC53D6,JOB-20240411-1463,CR105,Inspection-C,Inspection C for CR105,Low,On_Hold,2024-04-11,2024-05-17,23,,Tech_7,Maintenance,4600,931,50,11.669366245891394,Generated on 2024-04-11 - Inspection-C maintenance
WO-E85B647D,JOB-20240411-8175,CR110,PM-Doors,PM Doors for CR110,Medium,On_Hold,2024-04-11,2024-04-24,5,,Tech_28,Mechanical,810,547,70,16.82629745330799,Generated on 2024-04-11 - PM-Doors maintenance
WO-7AC75797,JOB-20240411-5668,CR110,CM-Electrical,Power supply issue resolution - CR110,Critical,Closed,2024-04-11,2024-04-12,7,7.8,Tech_4,Electrical,1169,3118,100,100.0,Generated on 2024-04-11 - CM-Electrical maintenance
WO-B4089201,JOB-20240412-8845,CR104,Emergency-Repair,Emergency repair required - CR104,Medium,On_Hold,2024-04-12,2024-04-20,4,,Tech_14,Emergency_Response,432,785,70,22.56587659486214,Generated on 2024-04-12 - Emergency-Repair maintenance
WO-61FCBB70,JOB-20240412-9714,CR115,PM-Brake,Brake system preventive maintenance - CR115,High,Closed,2024-04-12,2024-04-18,6,5.7,Tech_20,Mechanical,660,421,90,100.0,Generated on 2024-04-12 - PM-Brake maintenance
WO-1295B3BD,JOB-20240412-1458,CR118,Inspection-A,Inspection A for CR118,Low,Closed,2024-04-12,2024-05-02,5,4.5,Tech_16,Maintenance,750,628,50,100.0,Generated on 2024-04-12 - Inspection-A maintenance
WO-0450DDC7,JOB-20240413-5118,CR104,Inspection-B,Inspection B for CR104,Medium,On_Hold,2024-04-13,2024-04-24,17,,Tech_18,Maintenance,1581,290,70,15.064222901488105,Generated on 2024-04-13 - Inspection-B maintenance
WO-C9CFECE2,JOB-20240413-9249,CR108,Inspection-B,Inspection B for CR108,High,Closed,2024-04-13,2024-04-18,21,25.3,Tech_27,Maintenance,2751,829,90,100.0,Generated on 2024-04-13 - Inspection-B maintenance
WO-BB309472,JOB-20240414-6712,CR109,Inspection-B,Inspection B for CR109,High,Closed,2024-04-14,2024-04-19,21,16.9,Tech_26,Maintenance,2688,685,90,100.0,Generated on 2024-04-14 - Inspection-B maintenance
WO-EE0FE20D,JOB-20240414-5240,CR110,PM-HVAC,PM HVAC for CR110,Medium,On_Hold,2024-04-14,2024-04-24,11,,Tech_18,Electrical,1738,731,70,19.711950496211216,Generated on 2024-04-14 - PM-HVAC maintenance
WO-BF68891E,JOB-20240414-9765,CR103,CM-Mechanical,CM Mechanical for CR103,Medium,Closed,2024-04-14,2024-04-22,10,11.0,Tech_26,Mechanical,1150,2560,70,100.0,Generated on 2024-04-14 - CM-Mechanical maintenance
WO-F02373E0,JOB-20240415-5973,CR121,PM-Traction,PM Traction for CR121,Medium,Closed,2024-04-15,2024-04-27,14,13.1,Tech_18,Electrical,2800,424,70,100.0,Generated on 2024-04-15 - PM-Traction maintenance
WO-75CAF08D,JOB-20240415-2991,CR111,Inspection-A,Inspection A for CR111,Medium,On_Hold,2024-04-15,2024-05-01,8,,Tech_2,Maintenance,616,979,70,17.906625177750573,Generated on 2024-04-15 - Inspection-A maintenance
WO-115772EA,JOB-20240415-7832,CR117,Compliance-Check,Compliance Check for CR117,Medium,On_Hold,2024-04-15,2024-04-29,4,,Tech_19,Quality_Assurance,604,906,70,23.964343540789585,Generated on 2024-04-15 - Compliance-Check maintenance
WO-1CDA9360,JOB-20240416-9134,CR112,PM-Bogie,Scheduled bogie maintenance for CR112,High,Closed,2024-04-16,2024-04-19,11,10.6,Tech_11,Mechanical,1826,555,90,100.0,Generated on 2024-04-16 - PM-Bogie maintenance
WO-89134F0A,JOB-20240416-5974,CR105,CM-Electronics,CM Electronics for CR105,Medium,On_Hold,2024-04-16,2024-05-01,10,,Tech_18,Electronics,1470,3387,70,25.336606970067965,Generated on 2024-04-16 - CM-Electronics maintenance
WO-82B92594,JOB-20240416-6703,CR106,CM-Mechanical,CM Mechanical for CR106,High,Closed,2024-04-16,2024-04-20,19,16.0,Tech_22,Mechanical,2223,4299,90,100.0,Generated on 2024-04-16 - CM-Mechanical maintenance
WO-BB663F58,JOB-20240416-6981,CR107,PM-HVAC,PM HVAC for CR107,High,Closed,2024-04-16,2024-04-22,9,9.0,Tech_18,Electrical,882,939,90,100.0,Generated on 2024-04-16 - PM-HVAC maintenance
WO-55E1F1E3,JOB-20240417-9356,CR117,Compliance-Check,Compliance Check for CR117,Low,Closed,2024-04-17,2024-05-01,4,3.3,Tech_26,Quality_Assurance,636,937,50,100.0,Generated on 2024-04-17 - Compliance-Check maintenance
WO-7602C3C8,JOB-20240417-4982,CR115,Seasonal-Maintenance,Seasonal Maintenance for CR115,High,Closed,2024-04-17,2024-04-20,35,35.0,Tech_18,Maintenance,4655,534,90,100.0,Generated on 2024-04-17 - Seasonal-Maintenance maintenance
WO-2168B0A4,JOB-20240418-3741,CR102,PM-HVAC,PM HVAC for CR102,High,Closed,2024-04-18,2024-04-21,7,6.0,Tech_16,Electrical,1225,210,90,100.0,Generated on 2024-04-18 - PM-HVAC maintenance
WO-B5A7BD8E,JOB-20240418-8906,CR111,Inspection-A,Inspection A for CR111,Low,Closed,2024-04-18,2024-05-21,7,5.8,Tech_10,Maintenance,602,558,50,100.0,Generated on 2024-04-18 - Inspection-A maintenance
WO-700C110C,JOB-20240418-9141,CR117,CM-Mechanical,CM Mechanical for CR117,Medium,Closed,2024-04-18,2024-04-25,5,4.5,Tech_5,Mechanical,535,4242,70,100.0,Generated on 2024-04-18 - CM-Mechanical maintenance
WO-7788CC07,JOB-20240418-6429,CR114,Seasonal-Maintenance,Seasonal Maintenance for CR114,Critical,Closed,2024-04-18,2024-04-19,38,41.6,Tech_7,Maintenance,6004,453,100,100.0,Generated on 2024-04-18 - Seasonal-Maintenance maintenance
WO-6D68EF2E,JOB-20240419-2695,CR113,Seasonal-Maintenance,Seasonal Maintenance for CR113,Critical,Closed,2024-04-19,2024-04-21,52,46.0,Tech_26,Maintenance,6656,986,100,100.0,Generated on 2024-04-19 - Seasonal-Maintenance maintenance
WO-D39EADD4,JOB-20240419-7731,CR112,CM-Electronics,CM Electronics for CR112,Medium,Closed,2024-04-19,2024-05-08,9,10.8,Tech_11,Electronics,1548,1617,70,100.0,Generated on 2024-04-19 - CM-Electronics maintenance
WO-18C2A8BA,JOB-20240420-3026,CR109,Seasonal-Maintenance,Seasonal Maintenance for CR109,Critical,Closed,2024-04-20,2024-04-21,41,48.5,Tech_23,Maintenance,3649,757,100,100.0,Generated on 2024-04-20 - Seasonal-Maintenance maintenance
WO-BA6CEAF0,JOB-20240420-9700,CR102,CM-Mechanical,CM Mechanical for CR102,Medium,Closed,2024-04-20,2024-05-03,18,21.2,Tech_8,Mechanical,2484,2679,70,100.0,Generated on 2024-04-20 - CM-Mechanical maintenance
WO-778ACC4B,JOB-20240421-6911,CR105,Inspection-A,Inspection A for CR105,High,Closed,2024-04-21,2024-04-28,7,6.9,Tech_24,Maintenance,658,928,90,100.0,Generated on 2024-04-21 - Inspection-A maintenance
WO-8CCC6DAB,JOB-20240421-7054,CR107,PM-Doors,PM Doors for CR107,Critical,Closed,2024-04-21,2024-04-22,8,7.4,Tech_29,Mechanical,1592,163,100,100.0,Generated on 2024-04-21 - PM-Doors maintenance
WO-3C4FBE54,JOB-20240422-7084,CR107,CM-Software,CM Software for CR107,Critical,Closed,2024-04-22,2024-04-24,9,8.6,Tech_12,IT,1557,3194,100,100.0,Generated on 2024-04-22 - CM-Software maintenance
WO-1F2481DC,JOB-20240422-5985,CR123,Inspection-C,Inspection C for CR123,Low,On_Hold,2024-04-22,2024-05-24,20,,Tech_11,Maintenance,2460,998,50,13.242473203738559,Generated on 2024-04-22 - Inspection-C maintenance
WO-1359404E,JOB-20240422-4595,CR124,CM-Software,CM Software for CR124,High,Closed,2024-04-22,2024-04-29,2,1.7,Tech_5,IT,268,4232,90,100.0,Generated on 2024-04-22 - CM-Software maintenance
WO-8F2132B8,JOB-20240422-2235,CR109,Inspection-C,Inspection C for CR109,Low,On_Hold,2024-04-22,2024-06-04,21,,Tech_30,Maintenance,2730,444,50,19.698707243162083,Generated on 2024-04-22 - Inspection-C maintenance
WO-AEDEBC87,JOB-20240423-9638,CR117,PM-Bogie,Scheduled bogie maintenance for CR117,High,Closed,2024-04-23,2024-04-30,12,14.7,Tech_6,Mechanical,1236,163,90,100.0,Generated on 2024-04-23 - PM-Bogie maintenance
WO-379ABDBE,JOB-20240423-2495,CR107,PM-Brake,Brake system preventive maintenance - CR107,High,Closed,2024-04-23,2024-04-29,8,10.3,Tech_11,Mechanical,1480,321,90,100.0,Generated on 2024-04-23 - PM-Brake maintenance
WO-7626CBD9,JOB-20240423-7312,CR105,CM-Software,CM Software for CR105,Medium,On_Hold,2024-04-23,2024-05-01,5,,Tech_4,IT,615,3121,70,19.60103193060814,Generated on 2024-04-23 - CM-Software maintenance
WO-D55F0FC8,JOB-20240423-9473,CR109,PM-Traction,PM Traction for CR109,Medium,Closed,2024-04-23,2024-05-05,14,12.9,Tech_17,Electrical,1848,111,70,100.0,Generated on 2024-04-23 - PM-Traction maintenance
WO-5E2A4CFD,JOB-20240424-7898,CR108,CM-Software,CM Software for CR108,Medium,Closed,2024-04-24,2024-05-14,5,5.4,Tech_18,IT,905,1945,70,100.0,Generated on 2024-04-24 - CM-Software maintenance
WO-EA514EBF,JOB-20240424-6385,CR101,Inspection-C,Inspection C for CR101,Medium,Closed,2024-04-24,2024-05-15,27,31.2,Tech_25,Maintenance,4131,181,70,100.0,Generated on 2024-04-24 - Inspection-C maintenance
WO-D151A7DA,JOB-20240424-4065,CR102,PM-Brake,Brake pad inspection and replacement - CR102,Low,Closed,2024-04-24,2024-06-03,5,6.4,Tech_28,Mechanical,405,836,50,100.0,Generated on 2024-04-24 - PM-Brake maintenance
WO-873715A6,JOB-20240425-2801,CR109,Inspection-B,Inspection B for CR109,Medium,On_Hold,2024-04-25,2024-05-06,14,,Tech_8,Maintenance,2562,261,70,20.85988774259215,Generated on 2024-04-25 - Inspection-B maintenance
WO-CDB11D06,JOB-20240425-3968,CR107,Inspection-A,Inspection A for CR107,Low,Cancelled,2024-04-25,2024-05-15,6,,Tech_22,Maintenance,1110,347,50,0.0,Generated on 2024-04-25 - Inspection-A maintenance
WO-1F98FBEE,JOB-20240425-1673,CR109,Inspection-C,Inspection C for CR109,Low,Closed,2024-04-25,2024-06-04,25,24.2,Tech_3,Maintenance,3000,777,50,100.0,Generated on 2024-04-25 - Inspection-C maintenance
WO-84B91936,JOB-20240425-9785,CR106,CM-Software,CM Software for CR106,Low,On_Hold,2024-04-25,2024-05-24,4,,Tech_12,IT,456,2371,50,24.32297723022865,Generated on 2024-04-25 - CM-Software maintenance
WO-27F13642,JOB-20240426-1123,CR102,Seasonal-Maintenance,Seasonal Maintenance for CR102,Low,Closed,2024-04-26,2024-05-15,22,28.5,Tech_3,Maintenance,2090,526,50,100.0,Generated on 2024-04-26 - Seasonal-Maintenance maintenance
WO-2504C6D9,JOB-20240426-5151,CR118,PM-HVAC,PM HVAC for CR118,Low,Closed,2024-04-26,2024-05-19,9,8.3,Tech_24,Electrical,1323,455,50,100.0,Generated on 2024-04-26 - PM-HVAC maintenance
WO-BAFB0D32,JOB-20240426-4677,CR111,PM-Doors,PM Doors for CR111,Low,Cancelled,2024-04-26,2024-06-06,3,,Tech_23,Mechanical,594,734,50,0.0,Generated on 2024-04-26 - PM-Doors maintenance
WO-802953D6,JOB-20240426-7066,CR106,CM-Mechanical,CM Mechanical for CR106,Low,Closed,2024-04-26,2024-05-31,13,14.1,Tech_23,Mechanical,2366,4148,50,100.0,Generated on 2024-04-26 - CM-Mechanical maintenance
WO-1C62A465,JOB-20240426-8285,CR117,Emergency-Repair,Emergency repair required - CR117,Medium,On_Hold,2024-04-26,2024-05-04,4,,Tech_25,Emergency_Response,616,875,70,10.888011852504151,Generated on 2024-04-26 - Emergency-Repair maintenance
WO-C846C11E,JOB-20240427-2732,CR112,Compliance-Check,Compliance Check for CR112,Critical,Closed,2024-04-27,2024-04-29,4,3.4,Tech_19,Quality_Assurance,732,485,100,100.0,Generated on 2024-04-27 - Compliance-Check maintenance
WO-EF2C2513,JOB-20240428-6358,CR110,Inspection-C,Inspection C for CR110,Medium,On_Hold,2024-04-28,2024-05-07,22,,Tech_20,Maintenance,3388,400,70,13.24011484131066,Generated on 2024-04-28 - Inspection-C maintenance
WO-88EA8444,JOB-20240429-7188,CR114,PM-Brake,Brake pad inspection and replacement - CR114,Medium,On_Hold,2024-04-29,2024-05-18,7,,Tech_8,Mechanical,924,587,70,10.619491799392085,Generated on 2024-04-29 - PM-Brake maintenance
WO-B44A4EF9,JOB-20240429-9530,CR121,Seasonal-Maintenance,Seasonal Maintenance for CR121,Medium,Closed,2024-04-29,2024-05-16,33,34.7,Tech_6,Maintenance,2541,589,70,100.0,Generated on 2024-04-29 - Seasonal-Maintenance maintenance
WO-248AC6E5,JOB-20240430-9250,CR119,CM-Software,CM Software for CR119,High,Closed,2024-04-30,2024-05-03,8,7.8,Tech_20,IT,1304,2592,90,100.0,Generated on 2024-04-30 - CM-Software maintenance
WO-6CC046BE,JOB-20240430-6897,CR106,PM-Bogie,Bogie bearing inspection and lubrication - CR106,Medium,Closed,2024-04-30,2024-05-21,15,18.2,Tech_5,Mechanical,1620,139,70,100.0,Generated on 2024-04-30 - PM-Bogie maintenance
WO-B046BC38,JOB-20240430-1176,CR116,PM-HVAC,PM HVAC for CR116,Medium,Closed,2024-04-30,2024-05-11,8,9.9,Tech_6,Electrical,744,460,70,100.0,Generated on 2024-04-30 - PM-HVAC maintenance
WO-3143D194,JOB-20240430-4756,CR114,CM-Electronics,CM Electronics for CR114,Low,Closed,2024-04-30,2024-06-05,8,7.7,Tech_15,Electronics,800,3705,50,100.0,Generated on 2024-04-30 - CM-Electronics maintenance
WO-7E10F806,JOB-20240430-2771,CR120,Emergency-Repair,Urgent maintenance intervention - CR120,Low,Cancelled,2024-04-30,2024-05-20,13,,Tech_26,Emergency_Response,1417,975,50,0.0,Generated on 2024-04-30 - Emergency-Repair maintenance
WO-4989192A,JOB-20240501-6603,CR116,PM-HVAC,PM HVAC for CR116,Low,On_Hold,2024-05-01,2024-06-02,6,,Tech_13,Electrical,774,415,50,22.67576382940396,Generated on 2024-05-01 - PM-HVAC maintenance
WO-DB450E58,JOB-20240501-6502,CR113,Emergency-Repair,Emergency repair required - CR113,Medium,Closed,2024-05-01,2024-05-19,36,40.6,Tech_28,Emergency_Response,3240,215,70,100.0,Generated on 2024-05-01 - Emergency-Repair maintenance
WO-53381FD7,JOB-20240501-2091,CR123,CM-Electronics,CM Electronics for CR123,Low,Cancelled,2024-05-01,2024-05-27,5,,Tech_6,Electronics,510,4738,50,0.0,Generated on 2024-05-01 - CM-Electronics maintenance
WO-741F6F4C,JOB-20240502-7686,CR123,Seasonal-Maintenance,Seasonal Maintenance for CR123,Medium,On_Hold,2024-05-02,2024-05-21,34,,Tech_29,Maintenance,4590,207,70,16.025806561187927,Generated on 2024-05-02 - Seasonal-Maintenance maintenance
WO-CD9A1423,JOB-20240502-6528,CR108,Inspection-B,Inspection B for CR108,Low,Cancelled,2024-05-02,2024-06-10,11,,Tech_29,Maintenance,1936,295,50,0.0,Generated on 2024-05-02 - Inspection-B maintenance
WO-06516566,JOB-20240502-3540,CR114,Inspection-B,Inspection B for CR114,Low,Cancelled,2024-05-02,2024-05-22,10,,Tech_25,Maintenance,1250,797,50,0.0,Generated on 2024-05-02 - Inspection-B maintenance
WO-79CA95F1,JOB-20240502-5372,CR103,PM-HVAC,PM HVAC for CR103,Medium,Closed,2024-05-02,2024-05-17,11,11.0,Tech_2,Electrical,957,464,70,100.0,Generated on 2024-05-02 - PM-HVAC maintenance
